,Team,Median of matches_played,Median of starts,Median of minutes,Median of non_penalty_goals,Median of penalty_goals,Median of assists,Median of yellow_cards,Median of red_cards,Median of xG_x,Median of npxG_x,Median of xAG_x,Median of prgC,Median of prgP,Median of prgR,Median of gls_per90,Median of ast_per90,Median of g+a_per90,Median of g-pk_per90,Median of g+a-pk_per90,Median of xg_per90,Median of xag_per90,Median of xg+xag_per90,Median of npxg_per90,Median of npxg+xag_per90,Median of GA,Median of GA90,Median of SoTA,Median of Saves,Median of Save%,Median of W,Median of D,Median of L,Median of CS,Median of CS%,Median of PKatt_x,Median of PKA,Median of PKsv,Median of PKm,Median of Save%PK,Median of Gls,Median of Sh_x,Median of SoT,Median of SoT%,Median of Sh/90,Median of SoT/90,Median of G/Sh,Median of G/SoT,Median of Dist,Median of FK_x,Median of PK,Median of PKatt_y,Median of xG_y,Median of npxG_y,Median of npxG/Sh,Median of G-xG,Median of np:G-xG,Median of Cmp_x,Median of Att,Median of Cmp%,Median of TotDist_x,Median of PrgDist,Median of Cmp_Short,Median of Att_Short,Median of Cmp%_Short,Median of Cmp_Medium,Median of Att_Medium,Median of Cmp%_Medium,Median of Cmp_Long,Median of Att_Long,Median of Cmp%_Long,Median of Ast,Median of xAG_y,Median of xA,Median of A-xAG,Median of KP,Median of 1/3_x,Median of PPA,Median of CrsPA,Median of PrgP,Median of Live_x,Median of Dead,Median of FK_y,Median of TB,Median of Sw,Median of Crs_x,Median of TI,Median of CK,Median of CK_In,Median of CK_Out,Median of CK_Str,Median of Cmp_y,Median of Off_x,Median of Blocks_x,Median of SCA,Median of SCA90,Median of PassLive,Median of PassDead,Median of TO,Median of Sh_y,Median of Fld_x,Median of Def,Median of GCA,Median of GCA90,Median of GCA_PassLive,Median of GCA_PassDead,Median of GCA_TO,Median of GCA_Sh,Median of GCA_Fld,Median of GCA_Def,Median of Tkl,Median of TklW,Median of Def_3rd_x,Median of Mid_3rd_x,Median of Att_3rd_x,Median of Challenge_Tkl,Median of Challenges_Att,Median of Tkl_pct,Median of Challenges_Lost,Median of Blocks_y,Median of Blocked_Shots,Median of Blocked_Passes,Median of Interceptions,Median of Tkl_Int,Median of Clearances,Median of Errors,Median of Touches,Median of Def_Pen,Median of Def_3rd_y,Median of Mid_3rd_y,Median of Att_3rd_y,Median of Att_Pen,Median of Live_y,Median of TakeOn_Att,Median of TakeOn_Succ,Median of TakeOn_Succ_pct,Median of TakeOn_Tkld,Median of TakeOn_Tkld_pct,Median of Carries,Median of TotDist_y,Median of ProDist,Median of ProgC,Median of 1/3_y,Median of CPA,Median of Mis,Median of Dis,Median of Rec,Median of PrgR,Median of Starts,Median of Mn/Start,Median of Compl,Median of Subs,Median of Mn/Sub,Median of unSub,Median of PPM,Median of onG,Median of onGA,Median of onxG,Median of onxGA,Median of Fls,Median of Fld_y,Median of Off_y,Median of Crs_y,Median of OG,Median of Recov,Median of Won,Median of Lost,Median of Won%,Mean of matches_played,Mean of starts,Mean of minutes,Mean of non_penalty_goals,Mean of penalty_goals,Mean of assists,Mean of yellow_cards,Mean of red_cards,Mean of xG_x,Mean of npxG_x,Mean of xAG_x,Mean of prgC,Mean of prgP,Mean of prgR,Mean of gls_per90,Mean of ast_per90,Mean of g+a_per90,Mean of g-pk_per90,Mean of g+a-pk_per90,Mean of xg_per90,Mean of xag_per90,Mean of xg+xag_per90,Mean of npxg_per90,Mean of npxg+xag_per90,Mean of GA,Mean of GA90,Mean of SoTA,Mean of Saves,Mean of Save%,Mean of W,Mean of D,Mean of L,Mean of CS,Mean of CS%,Mean of PKatt_x,Mean of PKA,Mean of PKsv,Mean of PKm,Mean of Save%PK,Mean of Gls,Mean of Sh_x,Mean of SoT,Mean of SoT%,Mean of Sh/90,Mean of SoT/90,Mean of G/Sh,Mean of G/SoT,Mean of Dist,Mean of FK_x,Mean of PK,Mean of PKatt_y,Mean of xG_y,Mean of npxG_y,Mean of npxG/Sh,Mean of G-xG,Mean of np:G-xG,Mean of Cmp_x,Mean of Att,Mean of Cmp%,Mean of TotDist_x,Mean of PrgDist,Mean of Cmp_Short,Mean of Att_Short,Mean of Cmp%_Short,Mean of Cmp_Medium,Mean of Att_Medium,Mean of Cmp%_Medium,Mean of Cmp_Long,Mean of Att_Long,Mean of Cmp%_Long,Mean of Ast,Mean of xAG_y,Mean of xA,Mean of A-xAG,Mean of KP,Mean of 1/3_x,Mean of PPA,Mean of CrsPA,Mean of PrgP,Mean of Live_x,Mean of Dead,Mean of FK_y,Mean of TB,Mean of Sw,Mean of Crs_x,Mean of TI,Mean of CK,Mean of CK_In,Mean of CK_Out,Mean of CK_Str,Mean of Cmp_y,Mean of Off_x,Mean of Blocks_x,Mean of SCA,Mean of SCA90,Mean of PassLive,Mean of PassDead,Mean of TO,Mean of Sh_y,Mean of Fld_x,Mean of Def,Mean of GCA,Mean of GCA90,Mean of GCA_PassLive,Mean of GCA_PassDead,Mean of GCA_TO,Mean of GCA_Sh,Mean of GCA_Fld,Mean of GCA_Def,Mean of Tkl,Mean of TklW,Mean of Def_3rd_x,Mean of Mid_3rd_x,Mean of Att_3rd_x,Mean of Challenge_Tkl,Mean of Challenges_Att,Mean of Tkl_pct,Mean of Challenges_Lost,Mean of Blocks_y,Mean of Blocked_Shots,Mean of Blocked_Passes,Mean of Interceptions,Mean of Tkl_Int,Mean of Clearances,Mean of Errors,Mean of Touches,Mean of Def_Pen,Mean of Def_3rd_y,Mean of Mid_3rd_y,Mean of Att_3rd_y,Mean of Att_Pen,Mean of Live_y,Mean of TakeOn_Att,Mean of TakeOn_Succ,Mean of TakeOn_Succ_pct,Mean of TakeOn_Tkld,Mean of TakeOn_Tkld_pct,Mean of Carries,Mean of TotDist_y,Mean of ProDist,Mean of ProgC,Mean of 1/3_y,Mean of CPA,Mean of Mis,Mean of Dis,Mean of Rec,Mean of PrgR,Mean of Starts,Mean of Mn/Start,Mean of Compl,Mean of Subs,Mean of Mn/Sub,Mean of unSub,Mean of PPM,Mean of onG,Mean of onGA,Mean of onxG,Mean of onxGA,Mean of Fls,Mean of Fld_y,Mean of Off_y,Mean of Crs_y,Mean of OG,Mean of Recov,Mean of Won,Mean of Lost,Mean of Won%,Std of matches_played,Std of starts,Std of minutes,Std of non_penalty_goals,Std of penalty_goals,Std of assists,Std of yellow_cards,Std of red_cards,Std of xG_x,Std of npxG_x,Std of xAG_x,Std of prgC,Std of prgP,Std of prgR,Std of gls_per90,Std of ast_per90,Std of g+a_per90,Std of g-pk_per90,Std of g+a-pk_per90,Std of xg_per90,Std of xag_per90,Std of xg+xag_per90,Std of npxg_per90,Std of npxg+xag_per90,Std of GA,Std of GA90,Std of SoTA,Std of Saves,Std of Save%,Std of W,Std of D,Std of L,Std of CS,Std of CS%,Std of PKatt_x,Std of PKA,Std of PKsv,Std of PKm,Std of Save%PK,Std of Gls,Std of Sh_x,Std of SoT,Std of SoT%,Std of Sh/90,Std of SoT/90,Std of G/Sh,Std of G/SoT,Std of Dist,Std of FK_x,Std of PK,Std of PKatt_y,Std of xG_y,Std of npxG_y,Std of npxG/Sh,Std of G-xG,Std of np:G-xG,Std of Cmp_x,Std of Att,Std of Cmp%,Std of TotDist_x,Std of PrgDist,Std of Cmp_Short,Std of Att_Short,Std of Cmp%_Short,Std of Cmp_Medium,Std of Att_Medium,Std of Cmp%_Medium,Std of Cmp_Long,Std of Att_Long,Std of Cmp%_Long,Std of Ast,Std of xAG_y,Std of xA,Std of A-xAG,Std of KP,Std of 1/3_x,Std of PPA,Std of CrsPA,Std of PrgP,Std of Live_x,Std of Dead,Std of FK_y,Std of TB,Std of Sw,Std of Crs_x,Std of TI,Std of CK,Std of CK_In,Std of CK_Out,Std of CK_Str,Std of Cmp_y,Std of Off_x,Std of Blocks_x,Std of SCA,Std of SCA90,Std of PassLive,Std of PassDead,Std of TO,Std of Sh_y,Std of Fld_x,Std of Def,Std of GCA,Std of GCA90,Std of GCA_PassLive,Std of GCA_PassDead,Std of GCA_TO,Std of GCA_Sh,Std of GCA_Fld,Std of GCA_Def,Std of Tkl,Std of TklW,Std of Def_3rd_x,Std of Mid_3rd_x,Std of Att_3rd_x,Std of Challenge_Tkl,Std of Challenges_Att,Std of Tkl_pct,Std of Challenges_Lost,Std of Blocks_y,Std of Blocked_Shots,Std of Blocked_Passes,Std of Interceptions,Std of Tkl_Int,Std of Clearances,Std of Errors,Std of Touches,Std of Def_Pen,Std of Def_3rd_y,Std of Mid_3rd_y,Std of Att_3rd_y,Std of Att_Pen,Std of Live_y,Std of TakeOn_Att,Std of TakeOn_Succ,Std of TakeOn_Succ_pct,Std of TakeOn_Tkld,Std of TakeOn_Tkld_pct,Std of Carries,Std of TotDist_y,Std of ProDist,Std of ProgC,Std of 1/3_y,Std of CPA,Std of Mis,Std of Dis,Std of Rec,Std of PrgR,Std of Starts,Std of Mn/Start,Std of Compl,Std of Subs,Std of Mn/Sub,Std of unSub,Std of PPM,Std of onG,Std of onGA,Std of onxG,Std of onxGA,Std of Fls,Std of Fld_y,Std of Off_y,Std of Crs_y,Std of OG,Std of Recov,Std of Won,Std of Lost,Std of Won%
0,all,23.0,15.5,1396.5,1.0,0.0,1.0,2.0,0.0,1.1,1.1,1.0,17.0,43.5,30.0,0.07,0.05,0.15,0.07,0.15,0.08,0.07,0.17,0.08,0.17,27.5,1.64,79.0,54.0,67.6,5.5,4.0,6.0,3.0,19.5,2.0,2.0,0.0,0.0,0.0,1.0,12.0,4.0,32.4,1.04,0.29,0.08,0.27,16.3,0.0,0.0,0.0,1.1,1.1,0.09,-0.1,-0.1,490.0,622.0,78.6,7563.0,2313.0,242.0,275.0,88.6,174.0,210.5,84.5,31.0,59.5,53.15,1.0,1.0,0.9,-0.1,9.0,29.0,8.0,1.0,43.5,563.0,37.5,8.0,1.0,2.0,10.0,5.0,0.0,0.0,0.0,0.0,490.0,2.0,11.5,25.0,2.08,19.0,0.0,1.0,1.0,1.0,0.0,3.0,0.18,2.0,0.0,0.0,0.0,0.0,0.0,21.0,13.0,9.0,7.0,2.0,9.0,20.5,48.05,10.0,16.0,3.0,11.0,9.0,30.0,18.0,0.0,798.5,36.0,175.0,311.5,170.0,23.0,798.0,17.0,8.0,46.2,7.0,42.9,454.0,2319.5,1147.0,17.0,14.0,3.0,15.0,9.0,506.0,30.0,15.5,82.0,8.0,4.0,20.0,2.0,1.29,24.0,25.5,23.2,24.7,14.0,12.0,1.0,10.0,0.0,62.0,12.0,15.5,46.8,22.55,16.84,1509.72,2.41,0.19,1.73,3.3,0.12,2.42,2.25,1.74,28.69,58.98,58.33,0.14,0.1,0.24,0.13,0.23,0.15,0.1,0.25,0.14,0.25,32.76,1.77,96.03,64.34,66.25,7.84,4.32,7.84,4.13,19.62,2.82,2.53,0.21,0.08,9.72,2.41,20.86,7.14,31.39,1.3,0.44,0.09,0.3,16.53,0.57,0.19,0.22,2.42,2.25,0.1,-0.01,-0.03,631.2,781.86,78.18,10726.24,3794.44,303.41,339.48,88.02,257.57,297.11,82.83,53.83,103.64,54.38,1.73,1.74,1.54,-0.02,15.86,47.02,13.64,2.85,58.98,709.64,69.31,18.8,2.67,4.05,26.45,27.06,8.28,4.04,2.42,0.2,631.2,2.92,14.65,37.11,2.23,27.18,3.09,2.16,2.41,1.55,0.72,4.16,0.25,2.93,0.26,0.3,0.33,0.26,0.08,26.95,15.83,13.07,10.06,3.82,12.52,25.54,47.37,13.02,18.67,5.95,12.72,12.68,39.63,31.34,0.66,954.46,106.46,313.4,407.76,242.18,40.02,954.24,28.54,13.01,47.13,12.49,41.88,546.23,2886.74,1484.35,28.69,20.22,9.15,21.64,14.44,624.82,58.33,16.84,80.06,10.7,5.71,21.21,4.91,1.33,27.51,27.41,25.99,25.9,16.82,16.29,2.9,26.45,0.1,73.75,20.38,20.34,48.32,10.2,11.2,952.84,3.81,0.84,2.47,2.85,0.34,3.57,3.11,2.19,32.28,57.58,71.11,0.19,0.14,0.27,0.18,0.25,0.18,0.11,0.24,0.17,0.23,22.51,0.72,66.28,45.45,9.21,6.66,3.09,6.54,3.88,14.74,2.64,2.57,0.47,0.27,21.94,3.81,23.08,9.08,18.65,1.1,0.47,0.11,0.26,4.75,1.81,0.84,0.93,3.57,3.11,0.07,1.38,1.36,550.2,634.79,8.33,9779.8,4156.5,263.9,283.53,6.87,254.58,275.08,10.3,63.7,132.21,15.15,2.47,2.19,1.89,1.13,18.46,50.32,16.15,4.37,57.58,584.86,87.13,27.39,4.53,5.93,42.24,54.65,23.0,11.73,8.8,0.93,550.2,3.11,13.27,37.65,1.47,26.96,7.63,3.42,2.95,2.26,1.12,4.96,0.27,3.54,0.8,0.74,0.72,0.64,0.29,23.84,14.24,13.15,9.58,4.01,12.1,22.8,20.28,12.2,15.34,7.94,10.82,12.7,34.88,36.07,1.09,716.95,200.51,347.75,369.36,239.38,47.33,716.84,32.84,15.43,19.3,14.87,19.05,435.93,2283.47,1259.22,32.28,19.98,15.97,20.95,16.04,508.64,71.11,11.2,9.05,10.23,5.2,9.7,6.42,0.6,20.42,18.31,18.28,17.08,13.68,15.7,4.64,42.24,0.33,55.95,23.8,20.96,21.52
1,Arsenal,27.0,18.0,1649.0,2.0,0.0,2.0,2.0,0.0,1.6,1.6,1.4,17.0,72.0,37.0,0.12,0.17,0.25,0.12,0.25,0.12,0.13,0.24,0.12,0.24,14.5,0.79,41.5,27.0,66.2,14.0,2.5,2.5,9.0,41.65,1.5,1.0,0.5,0.0,33.3,2.0,17.0,5.0,31.6,1.34,0.3,0.1,0.34,15.6,0.0,0.0,0.0,1.6,1.6,0.11,0.2,0.0,699.0,785.0,83.7,9583.0,2564.0,306.0,342.0,90.9,229.0,267.0,85.9,37.0,60.0,54.3,2.0,1.4,0.9,0.4,9.0,43.0,14.0,2.0,72.0,759.0,49.0,7.0,3.0,2.0,12.0,6.0,0.0,0.0,0.0,0.0,699.0,3.0,11.0,28.0,2.86,25.0,1.0,1.0,1.0,1.0,0.0,5.0,0.38,3.0,0.0,0.0,0.0,0.0,0.0,24.0,15.0,9.0,9.0,4.0,11.0,22.0,50.0,7.0,18.0,1.0,15.0,12.0,36.0,9.0,0.0,912.0,25.0,182.0,389.0,239.0,31.0,912.0,14.0,8.0,40.9,6.0,44.3,591.0,3077.0,1532.0,17.0,21.0,6.0,13.0,9.0,650.0,37.0,18.0,80.0,7.0,7.0,17.0,3.0,2.34,39.0,11.0,37.3,12.2,15.0,13.0,1.0,12.0,0.0,59.0,15.0,16.0,48.8,10.19,13.09,1102.75,4.74,1.36,3.14,2.77,0.3,4.29,3.6,3.07,42.67,94.1,130.5,0.19,0.15,0.28,0.18,0.24,0.18,0.13,0.27,0.17,0.23,13.44,0.06,38.89,25.46,2.69,12.73,2.12,3.54,9.9,11.81,2.12,1.41,0.71,0.0,,4.74,29.87,10.14,10.28,1.22,0.44,0.09,0.23,4.48,0.96,1.36,1.36,4.29,3.6,0.04,1.54,1.56,735.47,820.17,6.26,12197.28,4680.44,352.21,378.56,4.51,350.74,375.53,6.81,50.0,102.65,13.16,3.14,3.07,3.23,1.28,28.94,70.97,30.36,3.94,94.1,777.28,66.18,22.55,8.32,3.98,45.59,51.21,27.92,23.29,0.22,0.0,735.47,4.02,13.62,59.48,1.67,46.29,7.01,3.92,3.29,2.04,1.43,6.99,0.35,5.32,1.18,0.67,0.75,1.02,0.0,22.46,13.12,9.98,10.53,4.98,10.24,20.46,22.24,12.19,15.07,8.67,11.16,12.08,33.29,28.95,1.28,909.01,173.76,372.35,488.04,369.74,78.2,908.71,36.88,15.08,14.38,17.54,15.47,566.77,2933.08,1541.2,42.67,24.15,23.07,21.18,18.47,667.3,130.5,13.09,7.19,12.5,5.84,5.64,8.45,0.15,29.36,9.68,24.56,8.97,13.71,16.97,5.29,45.59,0.22,60.38,28.0,24.83,21.11,26.81,19.86,1781.57,4.1,0.48,2.95,2.95,0.1,3.71,3.34,2.66,38.95,99.62,98.86,0.18,0.16,0.35,0.16,0.32,0.2,0.14,0.34,0.18,0.32,14.5,0.79,41.5,27.0,66.2,14.0,2.5,2.5,9.0,41.65,1.5,1.0,0.5,0.0,33.3,4.1,30.71,9.9,28.78,1.63,0.5,0.1,0.34,16.25,0.29,0.48,0.48,3.71,3.34,0.1,0.38,0.28,900.67,1064.62,82.7,14610.14,4839.48,457.95,501.62,91.06,368.48,413.76,87.3,55.81,102.48,55.6,2.95,2.66,2.74,0.29,24.38,72.76,26.0,3.24,99.62,988.38,72.1,20.9,4.95,3.05,31.67,26.1,12.62,10.33,0.05,0.0,900.67,4.14,15.05,56.33,2.76,44.0,3.9,2.76,3.14,1.57,0.95,7.24,0.41,4.95,0.76,0.38,0.52,0.62,0.0,28.95,16.48,12.19,11.67,5.1,12.9,25.81,56.22,12.9,19.52,5.05,14.48,13.86,42.81,24.48,0.86,1251.43,93.95,318.29,536.67,405.43,70.29,1250.95,31.86,13.43,43.03,14.48,46.14,769.33,3833.9,1961.52,38.95,27.14,15.57,24.95,17.81,892.67,98.86,19.86,80.95,12.52,6.95,16.62,6.67,2.37,47.43,15.19,39.71,14.54,18.38,18.67,4.1,31.67,0.05,83.0,23.81,23.62,48.83
